feature,latent_dim,full_weight,mean_boot_weight,p_unc,p_fdr,fdr_significant,final_significant,thresholded_weight,sign
feature_0,0,0.05075122504126215,0.05357749131799555,0.029994001199760048,0.12820708585555615,False,False,0.0,zero
feature_1,0,0.07857466404660844,0.0813587255822998,0.0027994401119776045,0.02164900353262681,True,True,0.07857466404660844,positive
feature_2,0,-0.008997916581486447,-0.01310267478868042,0.5782843431313738,0.775424803307495,False,False,0.0,zero
feature_3,0,0.002832325169717736,0.003013371523441283,0.9038192361527695,0.9385837118290628,False,False,0.0,zero
feature_4,0,-0.05862865591571831,-0.060951037965571664,0.008798240351929614,0.053715572674938705,False,False,0.0,zero
feature_5,0,-0.011354534480898895,-0.012217991683339778,0.6306738652269546,0.7774108336227492,False,False,0.0,zero
feature_6,0,-0.07159803304315594,-0.0716373858292607,0.0007998400319936012,0.00843467670102343,True,True,-0.07159803304315594,negative
feature_7,0,-0.07498515271494716,-0.08172237751280148,0.0023995200959808036,0.01988173793812666,True,True,-0.07498515271494716,negative
feature_8,0,-0.010435366419679909,-0.013659239772057408,0.5478904219156169,0.7611411849366654,False,False,0.0,zero
feature_9,0,-0.0372930121648156,-0.0361705797085833,0.09678064387122576,0.2533246159756813,False,False,0.0,zero
feature_10,0,0.05154625132845049,0.053943856533933,0.015596880623875225,0.0804105845497567,False,False,0.0,zero
feature_11,0,0.02100257022428581,0.02197408291471637,0.3603279344131174,0.6192302280284684,False,False,0.0,zero
feature_12,0,0.019124261000882645,0.02054084683055631,0.35272945410917816,0.6180778881817621,False,False,0.0,zero
feature_13,0,0.06775342714385746,0.06997316801836016,0.003999200159968006,0.028115589003411438,True,True,0.06775342714385746,positive
feature_14,0,-0.03228135356088147,-0.03330673525409316,0.2551489702059588,0.4974332864519533,False,False,0.0,zero
feature_15,0,0.0446515479107847,0.04715095633687738,0.07398520295940812,0.20791986181077038,False,False,0.0,zero
feature_16,0,0.024960470735369677,0.02621665117512743,0.34313137372525493,0.6123575284943011,False,False,0.0,zero
feature_17,0,0.002308580272400083,0.0017896948928552464,0.9478104379124175,0.9686873198047615,False,False,0.0,zero
feature_18,0,0.010523582478081342,0.010041322675177728,0.7014597080583883,0.8345571911258775,False,False,0.0,zero
feature_19,0,0.003928000167960408,0.0038105895182885333,0.8842231553689263,0.9332969769682427,False,False,0.0,zero
feature_20,0,0.04731985474336868,0.051393700230922414,0.05638872225554889,0.1882137858142657,False,False,0.0,zero
feature_21,0,0.024608466523973943,0.0286456212065523,0.3375324935012997,0.6070351821108646,False,False,0.0,zero
feature_22,0,-0.023133793347997835,-0.022338895939305697,0.40591881623675263,0.6446502907210766,False,False,0.0,zero
feature_23,0,-0.012958464726704989,-0.01104609542207578,0.6694661067786443,0.8047468226561942,False,False,0.0,zero
feature_24,0,-0.0070508838242009635,-0.004055049808168318,0.872625474905019,0.9332969769682427,False,False,0.0,zero
feature_25,0,0.032768502297538,0.03472498883770546,0.17036592681463708,0.39022783678558404,False,False,0.0,zero
feature_26,0,0.05424820633174806,0.05440445639312335,0.0631873625274945,0.19288773824182534,False,False,0.0,zero
feature_27,0,0.024692003148421526,0.023143202055516256,0.3899220155968806,0.6294963229576307,False,False,0.0,zero
feature_28,0,0.010883776037440463,0.012693447773469263,0.6558688262347531,0.7966574224422132,False,False,0.0,zero
feature_29,0,-0.005173533490855446,-0.004247251343155129,0.8790241951609679,0.9332969769682427,False,False,0.0,zero
feature_30,0,-0.08607570455919307,-0.08549207472760088,0.0007998400319936012,0.00843467670102343,True,True,-0.08607570455919307,negative
feature_31,0,-0.09904376924184527,-0.10436938465903059,0.0003999200159968006,0.005798840231953609,True,True,-0.09904376924184527,negative
feature_32,0,0.04046545293221051,0.04309668708392054,0.08678264347130574,0.236865568062858,False,False,0.0,zero
feature_33,0,0.0041463975408142,0.005709645851173883,0.8186362727454509,0.9103906918146888,False,False,0.0,zero
feature_34,0,-0.013388648536635427,-0.014321207668846807,0.5966806638672265,0.775424803307495,False,False,0.0,zero
feature_35,0,-0.03377833132762173,-0.03525795635830148,0.19356128774245152,0.41956918350843103,False,False,0.0,zero
feature_36,0,0.039933869713103025,0.04035396221485965,0.11397720455908818,0.29057924678800506,False,False,0.0,zero
feature_37,0,-0.01470845048272465,-0.01702464428105791,0.4907018596280744,0.7027335273686004,False,False,0.0,zero
feature_38,0,0.047600787960799355,0.04873919712702377,0.0611877624475105,0.1905112310871159,False,False,0.0,zero
feature_39,0,0.0469581059315325,0.04921854403802785,0.05678864227154569,0.1882137858142657,False,False,0.0,zero
feature_40,0,0.0031047101778518787,0.004642779818407381,0.8430313937212558,0.9139405763707072,False,False,0.0,zero
feature_41,0,0.012181404601361662,0.010586261554647798,0.6594681063787242,0.7968572952076252,False,False,0.0,zero
feature_42,0,0.030596745186849746,0.03150138136370341,0.20355928814237154,0.41956918350843103,False,False,0.0,zero
feature_43,0,0.0551552951152589,0.05894059257988145,0.030393921215756847,0.12820708585555615,False,False,0.0,zero
feature_44,0,0.0025094254787382,0.002360632324860289,0.9166166766646671,0.9451336399386789,False,False,0.0,zero
feature_45,0,0.033256275150619505,0.034886229367910804,0.20355928814237154,0.41956918350843103,False,False,0.0,zero
feature_46,0,0.08908184614764174,0.09148104620109442,0.0027994401119776045,0.02164900353262681,True,True,0.08908184614764174,positive
feature_47,0,-0.05361526351627456,-0.05327306755080516,0.04599080183963208,0.17209461333539744,False,False,0.0,zero
feature_48,0,-0.01772243490997152,-0.017410523095735205,0.5138972205558888,0.7269765559083305,False,False,0.0,zero
feature_49,0,-0.061697137371398786,-0.060829919960628163,0.03239352129574085,0.1318473147475768,False,False,0.0,zero
feature_50,0,-0.01823578558587377,-0.018672993169754095,0.4823035392921416,0.6984540980002757,False,False,0.0,zero
feature_51,0,-0.02643411857271404,-0.027725196445636743,0.26354729054189163,0.5095247617143238,False,False,0.0,zero
feature_52,0,0.08409880565621616,0.08835379162512495,0.0007998400319936012,0.00843467670102343,True,True,0.08409880565621616,positive
feature_53,0,-0.032970691833698246,-0.03641156954966204,0.15276944611077783,0.35800516664343895,False,False,0.0,zero
feature_54,0,0.00012313198417363507,-0.0012512318833298815,0.9594081183763248,0.9744077385396283,False,False,0.0,zero
feature_55,0,0.014371229054613563,0.01580546246860975,0.6110777844431113,0.7774108336227492,False,False,0.0,zero
feature_56,0,0.00749761157873352,0.008635179339831621,0.7854429114177165,0.888891489994684,False,False,0.0,zero
feature_57,0,-0.05895585694316341,-0.06490624287369845,0.02519496100779844,0.11240828757325459,False,False,0.0,zero
feature_58,0,-0.05975813506945605,-0.06279423944649479,0.05398920215956809,0.1841984544267617,False,False,0.0,zero
feature_59,0,-0.041000698678018324,-0.044830400957030225,0.15836832633473305,0.36741451709658063,False,False,0.0,zero
feature_60,0,-0.05333404610118074,-0.056528624115754066,0.07438512297540492,0.20791986181077038,False,False,0.0,zero
feature_61,0,0.0568656356852441,0.056604143807796596,0.026394721055788842,0.11553915631967945,False,False,0.0,zero
feature_62,0,-0.06387137356393256,-0.06305623290864835,0.01199760047990402,0.06958608278344332,False,False,0.0,zero
feature_63,0,0.018682746120961057,0.01611444432735894,0.5930813837232554,0.775424803307495,False,False,0.0,zero
feature_64,0,-0.058189169549743035,-0.05997753217792965,0.0595880823835233,0.1905112310871159,False,False,0.0,zero
feature_65,0,-0.02367014172525825,-0.021832877612714695,0.4407118576284743,0.6596461352890712,False,False,0.0,zero
feature_66,0,-0.0017576537444893264,-0.0008503112171231821,0.9762047590481904,0.9804307536761045,False,False,0.0,zero
feature_67,0,0.07337696096239657,0.07854898333392989,0.003599280143971206,0.026094781043791242,True,True,0.07337696096239657,positive
feature_68,0,0.0889792826692086,0.09241791251071002,0.0003999200159968006,0.005798840231953609,True,True,0.0889792826692086,positive
feature_69,0,0.07812503229746445,0.07963607756972786,0.0023995200959808036,0.01988173793812666,True,True,0.07812503229746445,positive
feature_70,0,-0.0030912732096725114,-0.00349724703655096,0.8850229954009198,0.9332969769682427,False,False,0.0,zero
feature_71,0,-0.07678022911753751,-0.08169739711627581,0.003199360127974405,0.023943598377098772,True,True,-0.07678022911753751,negative
feature_72,0,-0.009432019041883184,-0.010097333608873273,0.7222555488902219,0.8501903579680105,False,False,0.0,zero
feature_73,0,-0.15067679969425693,-0.15810068583946074,0.0003999200159968006,0.005798840231953609,True,True,-0.15067679969425693,negative
feature_74,0,-0.025918158848205138,-0.029286798663554173,0.35432913417316536,0.6180778881817621,False,False,0.0,zero
feature_75,0,-0.14757177628606238,-0.15549255814923202,0.0003999200159968006,0.005798840231953609,True,True,-0.14757177628606238,negative
feature_76,0,-0.07004663050274215,-0.0765919992454738,0.008798240351929614,0.053715572674938705,False,False,0.0,zero
feature_77,0,-0.06805677820923409,-0.07393397733128354,0.005198960207958408,0.035475257889598544,True,True,-0.06805677820923409,negative
feature_78,0,-0.10122010605709238,-0.11122682575969438,0.0003999200159968006,0.005798840231953609,True,True,-0.10122010605709238,negative
feature_79,0,0.050221006694916574,0.04938315239756094,0.06958608278344332,0.19930828649084997,False,False,0.0,zero
feature_80,0,-0.04388188306345508,-0.05036054361796819,0.06958608278344332,0.19930828649084997,False,False,0.0,zero
feature_81,0,-0.1341177631756018,-0.13718126282007126,0.0003999200159968006,0.005798840231953609,True,True,-0.1341177631756018,negative
feature_82,0,0.04612243445136301,0.05022289137512357,0.06798640271945611,0.19930828649084997,False,False,0.0,zero
feature_83,0,-0.022696920950196094,-0.02293390097110987,0.44991001799640074,0.6635634898336789,False,False,0.0,zero
feature_84,0,0.004253672414855827,0.005319051858545884,0.8702259548090382,0.9332969769682427,False,False,0.0,zero
feature_85,0,0.05913601409657585,0.062232636469585496,0.03719256148770246,0.14624871635842324,False,False,0.0,zero
feature_86,0,0.08746706609349592,0.08869508305646637,0.0023995200959808036,0.01988173793812666,True,True,0.08746706609349592,positive
feature_87,0,0.09426120619184554,0.10018604833892988,0.0003999200159968006,0.005798840231953609,True,True,0.09426120619184554,positive
feature_88,0,0.19191743695516347,0.19870946067854525,0.0003999200159968006,0.005798840231953609,True,True,0.19191743695516347,positive
feature_89,0,-0.028378360081116147,-0.028080801880751426,0.27874425114977003,0.5237662144990357,False,False,0.0,zero
feature_90,0,0.05429346341264257,0.05428696010400266,0.06678664267146571,0.19930828649084997,False,False,0.0,zero
feature_91,0,0.03676203495389364,0.038835640921636584,0.14597080583883223,0.34556354035315384,False,False,0.0,zero
feature_92,0,-0.12611285482338436,-0.1299566985057811,0.0003999200159968006,0.005798840231953609,True,True,-0.12611285482338436,negative
feature_93,0,-0.02688569360257837,-0.029421004789620838,0.2715456908618276,0.5163819695077377,False,False,0.0,zero
feature_94,0,0.005276209414211458,0.009639355448099655,0.7394521095780844,0.8501903579680105,False,False,0.0,zero
feature_95,0,0.02973855278446618,0.032416671574185964,0.20395920815836832,0.41956918350843103,False,False,0.0,zero
feature_96,0,-0.08398439171955974,-0.08700839785587432,0.0015996800639872025,0.01613590325413178,True,True,-0.08398439171955974,negative
