"model","contrast","age0","age1","ACME_at_age0","ACME_at_age1","ACME_avg","ADE_Ma0","ADE_Ma1","ADE_avg","Total_effect","Prop_med_avg"
"no_age_moderation","8_to_12",8,12,0.0112352378436196,0.0112352378436196,0.0112352378436196,0.115125382278134,0.115125382278134,0.115125382278134,0.126360620121753,0.0889140764962534
"no_age_moderation","12_to_16",12,16,-0.0240122243483394,-0.0240122243483394,-0.0240122243483394,0.115989836573389,0.115989836573389,0.115989836573389,0.0919776122250498,-0.26106596776601
"no_age_moderation","16_to_19",16,19,0.0286869734105681,0.0286869734105681,0.0286869734105681,0.0879394175627617,0.0879394175627617,0.0879394175627617,0.11662639097333,0.245973258463672
"no_age_moderation","8_to_19",8,19,0.0159099869058483,0.0159099869058483,0.0159099869058483,0.319054636414284,0.319054636414284,0.319054636414284,0.334964623320133,0.0474975140602917
"no_age_moderation","8_to_11",8,11,0.0153368639070495,0.0153368639070495,0.0153368639070495,0.0863518178253715,0.0863518178253715,0.0863518178253715,0.101688681732421,0.150821739900279
"no_age_moderation","11_to_19",11,19,0.000573122998798858,0.000573122998798858,0.000573122998798858,0.232702818588913,0.232702818588913,0.232702818588913,0.233275941587712,0.00245684572055779
"age_moderation","8_to_12",8,12,0.0112340369872616,0.0112367551128259,0.0112353960500437,0.115704303182173,0.115707021307737,0.115705662244955,0.126941058294999,0.0885087630507522
"age_moderation","12_to_16",12,16,-0.0240154670930943,-0.0240155535516471,-0.0240155103223707,0.115989646296011,0.115989559837459,0.115989603066735,0.0919740927443642,-0.26111168488631
"age_moderation","16_to_19",16,19,0.0286909507500011,0.0286886666157127,0.0286898086828569,0.0873213557671583,0.0873190716328699,0.0873202137000141,0.116010022382871,0.247304569842863
"age_moderation","8_to_19",8,19,0.0159082863981079,0.0159109259687216,0.0159096061834147,0.319014247453512,0.319016887024126,0.319015567238819,0.334925173422234,0.0475019719206289
"age_moderation","8_to_11",8,11,0.0153352246564364,0.0153382471899448,0.0153367359231906,0.0867823140742696,0.086785336607778,0.0867838253410238,0.102120561264214,0.150182644252319
"age_moderation","11_to_19",11,19,0.000573174690673605,0.000573156826515486,0.000573165758594546,0.232231455331504,0.232231437467346,0.232231446399425,0.232804612158019,0.00246200345122674
