"model","contrast","age0","age1","ACME_at_age0","ACME_at_age1","ACME_avg","ADE_Ma0","ADE_Ma1","ADE_avg","Total_effect","Prop_med_avg","boot"
"age_moderation","8_to_19",8,19,0.00228217874030756,-0.00782428345971596,-0.0027710523597042,0.680518237061446,0.670411774861422,0.675465005961434,0.67269395360173,-0.00411933591028649,11
"age_moderation","8_to_11",8,11,0.00175443824014506,-0.0290241079179694,-0.0136348348389122,0.381182780194952,0.350404234036837,0.365793507115894,0.352158672276982,-0.0387178732551218,11
"age_moderation","11_to_19",11,19,-0.00873054227781762,-0.00180931983701168,-0.00526993105741465,0.322344601161759,0.329265823602565,0.325805212382162,0.320535281324748,-0.016441032748827,11
"no_age_moderation","8_to_12",8,12,0.0260398593617972,0.0260398593617972,0.0260398593617972,-0.0249515052813249,-0.0249515052813249,-0.0249515052813249,0.00108835408047229,23.9259077803956,12
"no_age_moderation","12_to_16",12,16,-0.0389282365739394,-0.0389282365739394,-0.0389282365739394,0.181482244110128,0.181482244110128,0.181482244110128,0.142554007536189,-0.273077111241906,12
"no_age_moderation","16_to_19",16,19,0.047728132848647,0.047728132848647,0.047728132848647,0.243531608365679,0.243531608365679,0.243531608365679,0.291259741214326,0.163867936741473,12
"no_age_moderation","8_to_19",8,19,0.0348397556365048,0.0348397556365048,0.0348397556365048,0.400062347194482,0.400062347194482,0.400062347194482,0.434902102830987,0.0801094209701817,12
"no_age_moderation","8_to_11",8,11,0.0248883335195154,0.0248883335195154,0.0248883335195154,-0.0204670655029675,-0.0204670655029675,-0.0204670655029675,0.00442126801654789,5.62922976538937,12
"no_age_moderation","11_to_19",11,19,0.00995142211698941,0.00995142211698941,0.00995142211698941,0.42052941269745,0.42052941269745,0.42052941269745,0.430480834814439,0.0231169922379448,12
"age_moderation","8_to_12",8,12,0.0169933911978496,0.0290004397662802,0.0229969154820649,-0.0294961672743147,-0.017489118705884,-0.0234926429900993,-0.000495727508034415,-46.3902347748441,12
"age_moderation","12_to_16",12,16,-0.0433541504308695,-0.0417986449347616,-0.0425763976828155,0.187822958983307,0.189378464479415,0.188600711731361,0.146024314048546,-0.291570605622986,12
"age_moderation","16_to_19",16,19,0.0512474094363493,0.0329870780001565,0.0421172437182529,0.251251207186362,0.232990875750169,0.242121041468266,0.284238285186519,0.148175829623428,12
"age_moderation","8_to_19",8,19,0.0227361288147812,0.0240793357731435,0.0234077322939623,0.405687535953886,0.407030742912249,0.406359139433068,0.42976687172703,0.0544661160128461,12
"age_moderation","8_to_11",8,11,0.0162419152071207,0.0257800441518636,0.0210109796794922,-0.0185468260009747,-0.00900869705623178,-0.0137777615286032,0.00723321815088894,2.90478998990373,12
"age_moderation","11_to_19",11,19,0.0103079662344077,0.00687787931337306,0.00859292277389038,0.415655774262768,0.412225687341733,0.413940730802251,0.422533653576141,0.0203366588700418,12
"no_age_moderation","8_to_12",8,12,-0.00773023030403272,-0.00773023030403272,-0.00773023030403272,0.0665533235885842,0.0665533235885842,0.0665533235885842,0.0588230932845515,-0.131414889499918,13
"no_age_moderation","12_to_16",12,16,-0.00831020781165973,-0.00831020781165973,-0.00831020781165973,0.113900030726115,0.113900030726115,0.113900030726115,0.105589822914455,-0.0787027346223729,13
"no_age_moderation","16_to_19",16,19,0.00348336518627246,0.00348336518627246,0.00348336518627246,0.098662803187743,0.098662803187743,0.098662803187743,0.102146168374015,0.03410177045034,13
"no_age_moderation","8_to_19",8,19,-0.01255707292942,-0.01255707292942,-0.01255707292942,0.279116157502442,0.279116157502442,0.279116157502442,0.266559084573022,-0.0471080284115398,13
"no_age_moderation","8_to_11",8,11,-0.00483813283721002,-0.00483813283721002,-0.00483813283721002,0.0466280175515497,0.0466280175515497,0.0466280175515497,0.0417898847143396,-0.115772820869972,13
"no_age_moderation","11_to_19",11,19,-0.00771894009220997,-0.00771894009220997,-0.00771894009220997,0.232488139950893,0.232488139950893,0.232488139950893,0.224769199858683,-0.0343416273095381,13
"age_moderation","8_to_12",8,12,0.0033744540234125,-0.00572164744241152,-0.00117359670949951,0.0395463443794582,0.0304502429136342,0.0349982936465462,0.0338246969370467,-0.034696444189397,13
"age_moderation","12_to_16",12,16,-0.00615092660909424,-0.0159299320814181,-0.0110404293452562,0.111205509209271,0.101426503736948,0.106316006473109,0.0952755771278533,-0.115878902842443,13
