"model","contrast","age0","age1","effect","estimate","boot_se","ci_low","ci_high","p_boot","n_boot_success"
"no_age_moderation","11_to_19",11,19,"ADE_Ma1",0.232702818588913,0.122626747314948,0.0289871978608355,0.504229311570639,0.018,1000
"no_age_moderation","11_to_19",11,19,"ADE_avg",0.232702818588913,0.122626747314948,0.0289871978608355,0.504229311570639,0.018,1000
"no_age_moderation","11_to_19",11,19,"Total_effect",0.233275941587712,0.121660573723863,0.039233249818589,0.502872249141559,0.034,1000
"no_age_moderation","11_to_19",11,19,"Prop_med_avg",0.00245684572055779,1.4425949911013,-0.185057834528486,0.173597850458563,0.838,1000
"age_moderation","8_to_12",8,12,"ACME_at_age0",0.0112340369872616,0.0245683934639579,-0.0391874602409339,0.0560970311509451,0.856,1000
"age_moderation","8_to_12",8,12,"ACME_at_age1",0.0112367551128259,0.0282421365620029,-0.0424623303017208,0.073455245995664,0.762,1000
"age_moderation","8_to_12",8,12,"ACME_avg",0.0112353960500437,0.0217837088731293,-0.0336904940051012,0.0561109470894075,0.77,1000
"age_moderation","8_to_12",8,12,"ADE_Ma0",0.115704303182173,0.279390827487099,-0.22656569837955,0.886828057766372,0.4,1000
"age_moderation","8_to_12",8,12,"ADE_Ma1",0.115707021307737,0.279522430253509,-0.226472852469183,0.88307628363129,0.388,1000
"age_moderation","8_to_12",8,12,"ADE_avg",0.115705662244955,0.279051840352564,-0.226534838604171,0.885044734595138,0.392,1000
"age_moderation","8_to_12",8,12,"Total_effect",0.126941058294999,0.279936670892136,-0.230992251963822,0.891062396542848,0.388,1000
"age_moderation","8_to_12",8,12,"Prop_med_avg",0.0885087630507522,35.9650843741093,-0.957118540183704,1.29893288860341,0.794,1000
"age_moderation","12_to_16",12,16,"ACME_at_age0",-0.0240154670930943,0.0154154227694874,-0.0655551489368385,-0.00436406164558179,0.006,1000
"age_moderation","12_to_16",12,16,"ACME_at_age1",-0.0240155535516471,0.0148217075898473,-0.0636918538829127,-0.00417250847504954,0.002,1000
