roi,model,n_subjects,n_pairs,n_predictors,design_rank,design_condition_number,r_squared,r_squared_adj,tail,correction_mode,n_perm,seed,n_jobs,brain_stimulus_dir_name,behavior_stimulus_dir_name,brain_isc_prefix,behavior_isc_prefix,roi_selection_dir_name,roi_selection_model,roi_selection_p_col,roi_selection_alpha,roi_selection_mode,reappraisal_name,passive_name,rank_transform,normalize_models,fisher_z_brain,fisher_z_behavior,beta_brain_delta,t_brain_delta,p_perm_brain_delta,p_fwer_brain_delta_model_wise,beta_age_M_nn,t_age_M_nn,p_perm_age_M_nn,p_fwer_age_M_nn_model_wise,beta_age_M_conv,t_age_M_conv,p_perm_age_M_conv,p_fwer_age_M_conv_model_wise,beta_age_M_div,t_age_M_div,p_perm_age_M_div,p_fwer_age_M_div_model_wise,beta_interaction_M_nn,t_interaction_M_nn,p_perm_interaction_M_nn,p_fwer_interaction_M_nn_model_wise,beta_interaction_M_conv,t_interaction_M_conv,p_perm_interaction_M_conv,p_fwer_interaction_M_conv_model_wise,beta_interaction_M_div,t_interaction_M_div,p_perm_interaction_M_div,p_fwer_interaction_M_div_model_wise,p_fdr_perm_brain_delta_model_wise,p_fdr_perm_age_M_nn_model_wise,p_fdr_perm_age_M_conv_model_wise,p_fdr_perm_age_M_div_model_wise,p_fdr_perm_interaction_M_nn_model_wise,p_fdr_perm_interaction_M_conv_model_wise,p_fdr_perm_interaction_M_div_model_wise,source_name
L_1,joint,28,378,7,8,9.147195447752171,0.9150791914211808,0.913472581529149,positive,perm_fwer_fdr,99,42,1,by_emotion,by_emotion,roi_isc_mahalanobis_by_age,behavior_pattern_isc_mahalanobis_by_age,by_emotion,"M_conv,M_nn,M_div",p_perm_one_tailed,0.05,union,Reappraisal,Passive_Emo,True,True,False,False,0.802491631173545,51.017097348851294,0.01,0.01,-0.05919671544631333,-1.7565959633748176,0.93,0.93,0.4107662940846088,6.485121086051131,0.01,0.01,0.13024772302278087,2.307997073185485,0.09,0.09,-0.22484164540910176,-7.129208047178468,1.0,1.0,0.737264234991925,11.805955936069445,0.01,0.01,0.4140179853589282,7.389499949929442,0.01,0.01,0.01,0.95,0.01,0.12,1.0,0.01,0.01,7Networks_LH_Vis_1
R_101,joint,28,378,7,8,9.117283207590482,0.9106763005044858,0.9089863926761923,positive,perm_fwer_fdr,99,42,1,by_emotion,by_emotion,roi_isc_mahalanobis_by_age,behavior_pattern_isc_mahalanobis_by_age,by_emotion,"M_conv,M_nn,M_div",p_perm_one_tailed,0.05,union,Reappraisal,Passive_Emo,True,True,False,False,0.7966806189176344,49.519652557812094,0.01,0.01,-0.047253114906782356,-1.3707167153527338,0.85,0.85,0.3932104510736212,6.06317214653081,0.01,0.01,0.10509828370312438,1.8203480853543514,0.16,0.17,-0.23444232683513277,-7.253028124637195,1.0,1.0,0.75303283976639,11.773748617101072,0.01,0.01,0.4295381998196168,7.5158077242342936,0.01,0.01,0.01,0.95,0.01,0.16,1.0,0.01,0.01,7Networks_RH_Vis_1
V_1,joint,28,378,7,8,9.190663036914914,0.9101587228390879,0.9084590230009085,positive,perm_fwer_fdr,99,42,1,by_emotion,by_emotion,roi_isc_mahalanobis_by_age,behavior_pattern_isc_mahalanobis_by_age,by_emotion,"M_conv,M_nn,M_div",p_perm_one_tailed,0.05,union,Reappraisal,Passive_Emo,True,True,False,False,0.7952392485858291,49.21217196076858,0.01,0.01,-0.05369769870813402,-1.553591031493428,0.87,0.89,0.41491232418501967,6.382631045735754,0.01,0.01,0.1289801349042384,2.2274713153537635,0.09,0.09,-0.22581293543291014,-6.940585496438096,1.0,1.0,0.7347227750459628,11.301901246162078,0.01,0.01,0.41766819321212434,7.195658848282058,0.01,0.01,0.01,0.95,0.01,0.12,1.0,0.01,0.01,Tian_1
V_2,joint,28,378,7,8,9.180175512356847,0.9092981149271094,0.9075821333176224,positive,perm_fwer_fdr,99,42,1,by_emotion,by_emotion,roi_isc_mahalanobis_by_age,behavior_pattern_isc_mahalanobis_by_age,by_emotion,"M_conv,M_nn,M_div",p_perm_one_tailed,0.05,union,Reappraisal,Passive_Emo,True,True,False,False,0.7988589612144001,49.16322553974426,0.01,0.01,-0.0640425573497866,-1.840610665702251,0.95,0.96,0.4278808811362315,6.547010100295738,0.01,0.01,0.1460189806728285,2.50525230746552,0.08,0.08,-0.23397139826642394,-7.169048769104387,1.0,1.0,0.7562882360211137,11.711152479555768,0.01,0.01,0.42507273588877803,7.362523782029222,0.01,0.01,0.01,0.95,0.01,0.12,1.0,0.01,0.01,Tian_2
