model,contrast,age0,age1,effect,estimate,boot_se,ci_low,ci_high,p_boot,n_boot_success,mediator,contrast_label,mediator_group,abs_acme,ci_excludes_zero,y_base,y_offset,y_plot
no_age_moderation,8_to_12,8,12,ACME_avg,0.0237865549172973,0.0261941060539306,-0.012636593476179,0.089676682113302,0.198,1000,M1,8-12,M1,0.0237865549172973,FALSE,3,-0.2,2.8
no_age_moderation,12_to_16,12,16,ACME_avg,-0.0254746185999624,0.0155133047016496,-0.0610219411782596,-6.46038227950441e-6,0.018,1000,M1,12-16,M1,0.0254746185999624,TRUE,2,-0.2,1.8
no_age_moderation,16_to_19,16,19,ACME_avg,0.0245720536025233,0.0220902086988768,-0.00340848553605728,0.0780806427178631,0.116,1000,M1,16-19,M1,0.0245720536025233,FALSE,1,-0.2,0.8
no_age_moderation,8_to_12,8,12,ACME_avg,0.0112352378436196,0.0238420259355394,-0.0345751118077715,0.0599879281927037,0.758,1000,M2,8-12,M2,0.0112352378436196,FALSE,3,0.2,3.2
no_age_moderation,12_to_16,12,16,ACME_avg,-0.0240122243483394,0.0124744953986162,-0.0518747963173811,-0.00424680416236162,0.002,1000,M2,12-16,M2,0.0240122243483394,TRUE,2,0.2,2.2
no_age_moderation,16_to_19,16,19,ACME_avg,0.0286869734105681,0.0198150568241686,-0.00739558519546946,0.0691101205390078,0.18,1000,M2,16-19,M2,0.0286869734105681,FALSE,1,0.2,1.2
