"model","contrast","age0","age1","ACME_at_age0","ACME_at_age1","ACME_avg","ADE_Ma0","ADE_Ma1","ADE_avg","Total_effect","Prop_med_avg"
"no_age_moderation","8_to_12",8,12,0.0237865549172973,0.0237865549172973,0.0237865549172973,0.101636635464753,0.101636635464753,0.101636635464753,0.12542319038205,0.189650373625813
"no_age_moderation","12_to_16",12,16,-0.0254746185999624,-0.0254746185999624,-0.0254746185999624,0.10808387743324,0.10808387743324,0.10808387743324,0.0826092588332781,-0.30837485966767
"no_age_moderation","16_to_19",16,19,0.0245720536025233,0.0245720536025233,0.0245720536025233,0.0874715911710835,0.0874715911710835,0.0874715911710835,0.112043644773607,0.219307874642718
"no_age_moderation","8_to_19",8,19,0.0228839899198583,0.0228839899198583,0.0228839899198583,0.297192104069077,0.297192104069077,0.297192104069077,0.320076093988935,0.0714954673267457
"no_age_moderation","8_to_11",8,11,0.0245506710826371,0.0245506710826371,0.0245506710826371,0.0762302178113803,0.0762302178113803,0.0762302178113803,0.100780888894017,0.243604430880292
"no_age_moderation","11_to_19",11,19,-0.00166668116277879,-0.00166668116277879,-0.00166668116277879,0.220961886257697,0.220961886257697,0.220961886257697,0.219295205094918,-0.00760017147687932
"age_moderation","8_to_12",8,12,0.0237765544045887,0.0237920864696139,0.0237843204371013,0.103559482815696,0.103575014880721,0.103567248848209,0.12735156928531,0.186761109977502
"age_moderation","12_to_16",12,16,-0.0254805427107057,-0.0254797609152293,-0.0254801518129675,0.108049665426263,0.108050447221739,0.108050056324001,0.0825699045110334,-0.308588849216396
"age_moderation","16_to_19",16,19,0.0245770137257102,0.0245704441047656,0.0245737289152379,0.0855147858306699,0.0855082162097254,0.0855115010201977,0.110085229935436,0.223224577263001
"age_moderation","8_to_19",8,19,0.0228743688699495,0.0228824909922119,0.0228784299310807,0.297124212739567,0.29713233486183,0.297128273800699,0.320006703731779,0.0714935958037203
"age_moderation","8_to_11",8,11,0.0245403493147727,0.0245535134153934,0.024546931365083,0.0776717136375479,0.0776848777381686,0.0776782956878583,0.102225227052941,0.240125965700917
"age_moderation","11_to_19",11,19,-0.00166687412135239,-0.00166657199324714,-0.00166672305729976,0.219448048672085,0.21944835080019,0.219448199736138,0.217781476678838,-0.00765319017355034
