"model","contrast","age0","age1","effect","estimate","boot_se","ci_low","ci_high","p_boot","n_boot_success"
"age_moderation","8_to_19",8,19,"ACME_at_age0",0.0228743688699495,0.0430133604321897,-0.0708562866264404,0.0970917253565204,0.656,1000
"age_moderation","8_to_19",8,19,"ACME_at_age1",0.0228824909922119,0.0293825961167142,-0.0230546895447259,0.0979326471258866,0.342,1000
"age_moderation","8_to_19",8,19,"ACME_avg",0.0228784299310807,0.0309149436567385,-0.036359268968173,0.0843908416880742,0.532,1000
"age_moderation","8_to_19",8,19,"ADE_Ma0",0.297124212739567,0.34983022543476,0.000146909827976563,1.35496237624403,0.044,1000
"age_moderation","8_to_19",8,19,"ADE_Ma1",0.29713233486183,0.350853312543411,2.76812308258711e-05,1.34662789628724,0.046,1000
"age_moderation","8_to_19",8,19,"ADE_avg",0.297128273800699,0.34976936322582,0.000147407382660311,1.34655819133,0.044,1000
"age_moderation","8_to_19",8,19,"Total_effect",0.320006703731779,0.343055658387819,0.0292188136615701,1.35968436879398,0.03,1000
"age_moderation","8_to_19",8,19,"Prop_med_avg",0.0714935958037203,0.317799448103781,-0.134178493833064,0.597436820304145,0.542,1000
"age_moderation","8_to_11",8,11,"ACME_at_age0",0.0245403493147727,0.0400789566032066,-0.066993013104489,0.0864957506523464,0.664,1000
"age_moderation","8_to_11",8,11,"ACME_at_age1",0.0245535134153934,0.0280338064292386,-0.0106525192076672,0.100721973367463,0.182,1000
"age_moderation","8_to_11",8,11,"ACME_avg",0.024546931365083,0.026490850418472,-0.0193607827580115,0.0823503796863452,0.344,1000
"age_moderation","8_to_11",8,11,"ADE_Ma0",0.0776717136375479,0.31917268162588,-0.206582963783887,1.05637590188499,0.462,1000
"age_moderation","8_to_11",8,11,"ADE_Ma1",0.0776848777381686,0.324503050709056,-0.194423541624974,1.08773437131258,0.414,1000
"age_moderation","8_to_11",8,11,"ADE_avg",0.0776782956878583,0.321080008613284,-0.207016663984215,1.06186557301789,0.446,1000
"age_moderation","8_to_11",8,11,"Total_effect",0.102225227052941,0.318943837285531,-0.185722096548404,1.06378068800808,0.386,1000
"age_moderation","8_to_11",8,11,"Prop_med_avg",0.240125965700917,4.70587344115468,-1.98478985574579,1.46877527622994,0.57,1000
"age_moderation","11_to_19",11,19,"ACME_at_age0",-0.00166687412135239,0.0170856911326628,-0.0288083276963227,0.0426733814693503,0.93,1000
"age_moderation","11_to_19",11,19,"ACME_at_age1",-0.00166657199324714,0.0140308796812351,-0.0229402669892206,0.0341569485791203,0.95,1000
"age_moderation","11_to_19",11,19,"ACME_avg",-0.00166672305729976,0.0144846116947919,-0.0235977983100935,0.0387128510506127,0.938,1000
"age_moderation","11_to_19",11,19,"ADE_Ma0",0.219448048672085,0.12675980689937,0.0315875006794215,0.512703144685349,0.022,1000
"age_moderation","11_to_19",11,19,"ADE_Ma1",0.21944835080019,0.127037054430405,0.0294763957862654,0.519310618472013,0.022,1000
"age_moderation","11_to_19",11,19,"ADE_avg",0.219448199736138,0.12676214610306,0.0315805983772541,0.515261723589936,0.02,1000
"age_moderation","11_to_19",11,19,"Total_effect",0.217781476678838,0.125636648090845,0.0341433559842067,0.512331260699072,0.028,1000
"age_moderation","11_to_19",11,19,"Prop_med_avg",-0.00765319017355034,0.275870804063362,-0.140315175115459,0.230611075457722,0.934,1000
