contrast,gender,gender_label,tp_kind,kde_mode_age,posterior_median_age,age_ci_low,age_ci_high,sign_change_prob,n_candidates_assigned,n_draws_with_tp,deriv_support,pre_support,post_support,pre_deriv_band_relation,post_deriv_band_relation,deriv_center_at_tp,deriv_lo_at_tp,deriv_hi_at_tp,pre_interval_start,pre_interval_end,pre_interval_duration,pre_interval_n_points,post_interval_start,post_interval_end,post_interval_duration,post_interval_n_points
rpsl_minus_lkng,0,male,valley,10.474905300829288,10.46978384149335,10.105833425274795,10.851348003613957,1.0,1000,1000,True,True,True,upper_band_below_0,lower_band_above_0,1.3360534383803884e-05,-0.04484905072079852,0.04487577178956612,9.015865910332996,9.898196239970398,0.8823303296374014,15,11.0326209495042,11.9149512791416,0.8823303296374014,15
rpsl_minus_lkng,0,male,peak,17.126176246735838,17.1020085446579,16.414188738647418,17.9685535149014,0.971,971,971,False,True,False,lower_band_above_0,upper_band_below_0,0.001387691044853803,-0.09930960489018462,0.10208498697989221,15.63334338261351,16.13753214240631,0.5041887597928003,9,,,,0
rpsl_minus_lkng,1,female,valley,10.695796217852013,10.674595039888398,10.243879141596603,11.17381837680953,1.0,1000,1000,True,True,True,upper_band_below_0,lower_band_above_0,-4.7710014668902014e-05,-0.04656677990213747,0.04647135987279967,9.204936695255295,10.087267024892698,0.8823303296374032,15,11.4107625193488,12.167045659038003,0.7562831396892022,13
rpsl_minus_lkng,1,female,peak,17.322523728533817,17.278416194022995,16.475700866928896,18.234440970293186,0.859,859,859,False,True,False,lower_band_above_0,upper_band_below_0,0.007615573234621762,-0.11772397490445619,0.13295512137369972,15.822414167535811,16.13753214240631,0.31511797487049975,6,,,,0
