contrast,gender,gender_label,tp_kind,kde_mode_age,posterior_median_age,age_ci_low,age_ci_high,sign_change_prob,n_candidates_assigned,n_draws_with_tp
rpsl_minus_lkng,0,male,valley,10.474905300829288,10.46978384149335,10.105833425274795,10.851348003613957,1.0,1000,1000
rpsl_minus_lkng,0,male,peak,17.126176246735838,17.1020085446579,16.414188738647418,17.9685535149014,0.971,971,971
rpsl_minus_lkng,1,female,valley,10.695796217852013,10.674595039888398,10.243879141596603,11.17381837680953,1.0,1000,1000
rpsl_minus_lkng,1,female,peak,17.322523728533817,17.278416194022995,16.475700866928896,18.234440970293186,0.859,859,859
