term,ss,df1,df2,MS,F,p_value,p-GG-corr,partial_eta2,eps,sphericity,W-spher,p-spher
gender,9.176827187683406,1,254,9.176827187683406,9.35941325043017,0.002456012900978799,,0.035538555979125926,,,,
cognition,152.46827238317377,2,508,76.23413619158688,220.39017058782045,1.228289779623058e-69,4.2047391842394706e-68,0.4645757527284625,0.9734302409599795,False,0.9727050199161511,0.029758220796588682
Interaction,0.10307140853171859,2,508,0.051535704265859295,0.14898788419366452,0.8616171869510194,,0.0005862226146718034,,,,
